contact_id,first_name,last_name,email,company_name,lead_created_date,lead_source,contact_created_date,deal_id,deals_sales_rep,deal_amount,deal_stage,deal_created_date,closed_date,activity_id,activities_sales_rep,activity_type,contact_time,response_time,lead_response_time_hours,conversion_rate,clv
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,6963,William Rivers,20970,Closed Lost,2025-06-16,2025-10-30,219.0,Erin Allen,Email,2025-09-07 21:54:11,2025-10-31 17:37:08,1291.7158333333334,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,6963,William Rivers,20970,Closed Lost,2025-06-16,2025-10-30,363.0,Stephanie Ortiz,Meeting,2025-07-20 21:53:16,2025-10-31 17:40:15,2467.7830555555556,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,6963,William Rivers,20970,Closed Lost,2025-06-16,2025-10-30,3068.0,Nicholas Howard,Demo,2025-08-26 18:34:11,2025-10-31 17:40:26,1583.1041666666667,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,6963,William Rivers,20970,Closed Lost,2025-06-16,2025-10-30,3366.0,Samantha Avery,Demo,2025-05-27 01:58:47,2025-10-31 17:38:21,3783.6594444444445,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,6963,William Rivers,20970,Closed Lost,2025-06-16,2025-10-30,5430.0,Isabella Warren,Call,2025-09-09 20:00:57,2025-10-31 17:39:26,1245.641388888889,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,6963,William Rivers,20970,Closed Lost,2025-06-16,2025-10-30,6847.0,Daniel Ryan,Meeting,2025-10-08 04:28:35,2025-10-31 17:39:19,565.1788888888889,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,9275,Bethany Anderson,40400,Negotiation,2024-11-03,2025-10-30,219.0,Erin Allen,Email,2025-09-07 21:54:11,2025-10-31 17:37:08,1291.7158333333334,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,9275,Bethany Anderson,40400,Negotiation,2024-11-03,2025-10-30,363.0,Stephanie Ortiz,Meeting,2025-07-20 21:53:16,2025-10-31 17:40:15,2467.7830555555556,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,9275,Bethany Anderson,40400,Negotiation,2024-11-03,2025-10-30,3068.0,Nicholas Howard,Demo,2025-08-26 18:34:11,2025-10-31 17:40:26,1583.1041666666667,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,9275,Bethany Anderson,40400,Negotiation,2024-11-03,2025-10-30,3366.0,Samantha Avery,Demo,2025-05-27 01:58:47,2025-10-31 17:38:21,3783.6594444444445,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,9275,Bethany Anderson,40400,Negotiation,2024-11-03,2025-10-30,5430.0,Isabella Warren,Call,2025-09-09 20:00:57,2025-10-31 17:39:26,1245.641388888889,0.0,0.0
1,Kevin,Gibson,lawsonmichael@adams.biz,"King, Scott and Richardson",2024-04-05,Website,2024-04-05,9275,Bethany Anderson,40400,Negotiation,2024-11-03,2025-10-30,6847.0,Daniel Ryan,Meeting,2025-10-08 04:28:35,2025-10-31 17:39:19,565.1788888888889,0.0,0.0
2,Zachary,Henderson,johnsummers@reid.org,Kirby PLC,2025-10-04,Website,2025-10-04,7778,Cynthia Chapman,16748,Qualified,2025-04-12,2025-10-30,2266.0,Dominic Klein,Call,2025-05-17 17:09:03,2025-10-31 17:42:01,4008.5494444444444,0.0,0.0
2,Zachary,Henderson,johnsummers@reid.org,Kirby PLC,2025-10-04,Website,2025-10-04,7778,Cynthia Chapman,16748,Qualified,2025-04-12,2025-10-30,2680.0,Jesus Williams PhD,Email,2025-06-21 10:06:06,2025-10-31 17:36:24,3175.505,0.0,0.0
3,Diana,Lin,stephen49@wang-smith.com,"Rodriguez, Cohen and Washington",2023-10-31,Email Campaign,2023-10-31,5506,Jordan Herrera,31412,Closed Won,2025-08-07,2025-10-30,1925.0,Isaac Atkinson,Meeting,2025-04-09 15:57:42,2025-10-31 17:40:08,4921.707222222222,1.0,62824.0
3,Diana,Lin,stephen49@wang-smith.com,"Rodriguez, Cohen and Washington",2023-10-31,Email Campaign,2023-10-31,5506,Jordan Herrera,31412,Closed Won,2025-08-07,2025-10-30,6960.0,Kenneth Williams,Email,2024-12-20 02:43:56,2025-10-31 17:36:37,7574.878055555556,1.0,62824.0
3,Diana,Lin,stephen49@wang-smith.com,"Rodriguez, Cohen and Washington",2023-10-31,Email Campaign,2023-10-31,6919,Dominique Weaver,37022,Prospecting,2024-11-12,2025-10-30,1925.0,Isaac Atkinson,Meeting,2025-04-09 15:57:42,2025-10-31 17:40:08,4921.707222222222,0.0,0.0
3,Diana,Lin,stephen49@wang-smith.com,"Rodriguez, Cohen and Washington",2023-10-31,Email Campaign,2023-10-31,6919,Dominique Weaver,37022,Prospecting,2024-11-12,2025-10-30,6960.0,Kenneth Williams,Email,2024-12-20 02:43:56,2025-10-31 17:36:37,7574.878055555556,0.0,0.0
3,Diana,Lin,stephen49@wang-smith.com,"Rodriguez, Cohen and Washington",2023-10-31,Email Campaign,2023-10-31,7806,Tami Pierce,47500,Proposal,2024-12-27,2025-10-30,1925.0,Isaac Atkinson,Meeting,2025-04-09 15:57:42,2025-10-31 17:40:08,4921.707222222222,0.0,0.0
3,Diana,Lin,stephen49@wang-smith.com,"Rodriguez, Cohen and Washington",2023-10-31,Email Campaign,2023-10-31,7806,Tami Pierce,47500,Proposal,2024-12-27,2025-10-30,6960.0,Kenneth Williams,Email,2024-12-20 02:43:56,2025-10-31 17:36:37,7574.878055555556,0.0,0.0
3,Diana,Lin,stephen49@wang-smith.com,"Rodriguez, Cohen and Washington",2023-10-31,Email Campaign,2023-10-31,9399,Gerald Yang,29046,Negotiation,2024-11-11,2025-10-30,1925.0,Isaac Atkinson,Meeting,2025-04-09 15:57:42,2025-10-31 17:40:08,4921.707222222222,0.0,0.0
3,Diana,Lin,stephen49@wang-smith.com,"Rodriguez, Cohen and Washington",2023-10-31,Email Campaign,2023-10-31,9399,Gerald Yang,29046,Negotiation,2024-11-11,2025-10-30,6960.0,Kenneth Williams,Email,2024-12-20 02:43:56,2025-10-31 17:36:37,7574.878055555556,0.0,0.0
4,Christopher,Guerra,davidperry@johns-powell.org,Kelly and Sons,2024-07-20,Referral,2024-07-20,1869,Caroline Warner,18267,Proposal,2025-05-15,2025-10-30,1332.0,Christopher Ramsey,Meeting,2025-03-06 21:29:21,2025-10-31 17:39:40,5732.171944444444,0.0,0.0
4,Christopher,Guerra,davidperry@johns-powell.org,Kelly and Sons,2024-07-20,Referral,2024-07-20,1869,Caroline Warner,18267,Proposal,2025-05-15,2025-10-30,5689.0,Pamela Lang,Meeting,2025-07-27 05:03:36,2025-10-31 17:40:44,2316.6188888888887,0.0,0.0
4,Christopher,Guerra,davidperry@johns-powell.org,Kelly and Sons,2024-07-20,Referral,2024-07-20,5308,Matthew Huffman,45031,Negotiation,2025-06-01,2025-10-30,1332.0,Christopher Ramsey,Meeting,2025-03-06 21:29:21,2025-10-31 17:39:40,5732.171944444444,0.0,0.0
4,Christopher,Guerra,davidperry@johns-powell.org,Kelly and Sons,2024-07-20,Referral,2024-07-20,5308,Matthew Huffman,45031,Negotiation,2025-06-01,2025-10-30,5689.0,Pamela Lang,Meeting,2025-07-27 05:03:36,2025-10-31 17:40:44,2316.6188888888887,0.0,0.0
5,Jessica,Dougherty,matthewsmith@murphy.com,Hudson-Owens,2025-08-11,Referral,2025-08-11,2374,Stephen Carroll,41955,Prospecting,2025-05-24,2025-10-30,,,,,,,0.0,0.0
7,Timothy,Garner,alichase@hodges.org,Montoya-Gutierrez,2024-08-21,Website,2024-08-21,1508,Amy Klein,44184,Negotiation,2025-07-05,2025-10-30,,,,,,,0.0,0.0
7,Timothy,Garner,alichase@hodges.org,Montoya-Gutierrez,2024-08-21,Website,2024-08-21,8956,Angela Pace,43374,Closed Won,2025-06-06,2025-10-30,,,,,,,1.0,43374.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,1728,Katherine Mcbride,37067,Proposal,2025-05-04,2025-10-30,2607.0,Mrs. Angela Jones DVM,Demo,2025-03-07 10:50:27,2025-10-31 17:37:59,5718.792222222222,0.0,0.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,1728,Katherine Mcbride,37067,Proposal,2025-05-04,2025-10-30,3141.0,Miguel Gross,Demo,2025-08-13 05:55:11,2025-10-31 17:41:48,1907.7769444444446,0.0,0.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,1728,Katherine Mcbride,37067,Proposal,2025-05-04,2025-10-30,4536.0,Sarah Harris,Call,2025-07-28 22:37:59,2025-10-31 17:41:10,2275.0530555555556,0.0,0.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,2060,Katie Stephens,16196,Closed Won,2025-03-30,2025-10-30,2607.0,Mrs. Angela Jones DVM,Demo,2025-03-07 10:50:27,2025-10-31 17:37:59,5718.792222222222,1.0,136617.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,2060,Katie Stephens,16196,Closed Won,2025-03-30,2025-10-30,3141.0,Miguel Gross,Demo,2025-08-13 05:55:11,2025-10-31 17:41:48,1907.7769444444446,1.0,136617.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,2060,Katie Stephens,16196,Closed Won,2025-03-30,2025-10-30,4536.0,Sarah Harris,Call,2025-07-28 22:37:59,2025-10-31 17:41:10,2275.0530555555556,1.0,136617.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,8783,Bryan Aguilar,11700,Proposal,2024-12-07,2025-10-30,2607.0,Mrs. Angela Jones DVM,Demo,2025-03-07 10:50:27,2025-10-31 17:37:59,5718.792222222222,0.0,0.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,8783,Bryan Aguilar,11700,Proposal,2024-12-07,2025-10-30,3141.0,Miguel Gross,Demo,2025-08-13 05:55:11,2025-10-31 17:41:48,1907.7769444444446,0.0,0.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,8783,Bryan Aguilar,11700,Proposal,2024-12-07,2025-10-30,4536.0,Sarah Harris,Call,2025-07-28 22:37:59,2025-10-31 17:41:10,2275.0530555555556,0.0,0.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,9708,Nathan Moore,29343,Closed Won,2025-08-09,2025-10-30,2607.0,Mrs. Angela Jones DVM,Demo,2025-03-07 10:50:27,2025-10-31 17:37:59,5718.792222222222,1.0,136617.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,9708,Nathan Moore,29343,Closed Won,2025-08-09,2025-10-30,3141.0,Miguel Gross,Demo,2025-08-13 05:55:11,2025-10-31 17:41:48,1907.7769444444446,1.0,136617.0
8,Stephen,Jimenez,weberrobert@coleman.com,"Anderson, Brown and Lopez",2024-01-17,Social Media,2024-01-17,9708,Nathan Moore,29343,Closed Won,2025-08-09,2025-10-30,4536.0,Sarah Harris,Call,2025-07-28 22:37:59,2025-10-31 17:41:10,2275.0530555555556,1.0,136617.0
9,Christopher,Owens,joshuajensen@yahoo.com,"Williams, Garrison and Lindsey",2025-09-18,Website,2025-09-18,3359,Jose Todd,47657,Prospecting,2025-05-10,2025-10-30,185.0,Larry Gregory,Email,2025-08-29 15:49:47,2025-10-31 17:41:25,1513.8605555555555,0.0,0.0
10,Jack,Stone,kingcaroline@luna.com,"Pearson, Mcclure and Barr",2024-04-29,Social Media,2024-04-29,761,Paul Smith,40672,Negotiation,2025-10-18,2025-10-30,6662.0,Sheena Flores,Email,2025-08-05 16:22:02,2025-10-31 17:39:39,2089.293611111111,0.0,0.0
10,Jack,Stone,kingcaroline@luna.com,"Pearson, Mcclure and Barr",2024-04-29,Social Media,2024-04-29,4739,Carlos Yates,28593,Closed Won,2025-07-31,2025-10-30,6662.0,Sheena Flores,Email,2025-08-05 16:22:02,2025-10-31 17:39:39,2089.293611111111,1.0,28593.0
10,Jack,Stone,kingcaroline@luna.com,"Pearson, Mcclure and Barr",2024-04-29,Social Media,2024-04-29,6330,Veronica Jones,13814,Qualified,2025-08-10,2025-10-30,6662.0,Sheena Flores,Email,2025-08-05 16:22:02,2025-10-31 17:39:39,2089.293611111111,0.0,0.0
11,Gloria,King,sandraalvarez@hotmail.com,Miles-Johnson,2024-05-24,Cold Call,2024-05-24,436,Mark Henry,12030,Proposal,2025-05-10,2025-10-30,4620.0,Joshua Hines,Meeting,2024-12-13 14:18:52,2025-10-31 17:37:13,7731.305833333333,0.0,0.0
11,Gloria,King,sandraalvarez@hotmail.com,Miles-Johnson,2024-05-24,Cold Call,2024-05-24,436,Mark Henry,12030,Proposal,2025-05-10,2025-10-30,4747.0,Jeffrey Patel,Demo,2025-08-19 13:32:50,2025-10-31 17:37:52,1756.0838888888889,0.0,0.0
11,Gloria,King,sandraalvarez@hotmail.com,Miles-Johnson,2024-05-24,Cold Call,2024-05-24,436,Mark Henry,12030,Proposal,2025-05-10,2025-10-30,5676.0,Mitchell Vasquez,Meeting,2025-09-05 08:19:13,2025-10-31 17:36:33,1353.2888888888888,0.0,0.0
11,Gloria,King,sandraalvarez@hotmail.com,Miles-Johnson,2024-05-24,Cold Call,2024-05-24,5287,Anne Webb,41760,Closed Won,2024-11-11,2025-10-30,4620.0,Joshua Hines,Meeting,2024-12-13 14:18:52,2025-10-31 17:37:13,7731.305833333333,1.0,125280.0
11,Gloria,King,sandraalvarez@hotmail.com,Miles-Johnson,2024-05-24,Cold Call,2024-05-24,5287,Anne Webb,41760,Closed Won,2024-11-11,2025-10-30,4747.0,Jeffrey Patel,Demo,2025-08-19 13:32:50,2025-10-31 17:37:52,1756.0838888888889,1.0,125280.0
11,Gloria,King,sandraalvarez@hotmail.com,Miles-Johnson,2024-05-24,Cold Call,2024-05-24,5287,Anne Webb,41760,Closed Won,2024-11-11,2025-10-30,5676.0,Mitchell Vasquez,Meeting,2025-09-05 08:19:13,2025-10-31 17:36:33,1353.2888888888888,1.0,125280.0
11,Gloria,King,sandraalvarez@hotmail.com,Miles-Johnson,2024-05-24,Cold Call,2024-05-24,8681,Jeffrey Jackson,23378,Prospecting,2025-05-21,2025-10-30,4620.0,Joshua Hines,Meeting,2024-12-13 14:18:52,2025-10-31 17:37:13,7731.305833333333,0.0,0.0
11,Gloria,King,sandraalvarez@hotmail.com,Miles-Johnson,2024-05-24,Cold Call,2024-05-24,8681,Jeffrey Jackson,23378,Prospecting,2025-05-21,2025-10-30,4747.0,Jeffrey Patel,Demo,2025-08-19 13:32:50,2025-10-31 17:37:52,1756.0838888888889,0.0,0.0
11,Gloria,King,sandraalvarez@hotmail.com,Miles-Johnson,2024-05-24,Cold Call,2024-05-24,8681,Jeffrey Jackson,23378,Prospecting,2025-05-21,2025-10-30,5676.0,Mitchell Vasquez,Meeting,2025-09-05 08:19:13,2025-10-31 17:36:33,1353.2888888888888,0.0,0.0
12,Robert,Hayes,epope@gmail.com,Park LLC,2024-04-11,Website,2024-04-11,3140,Jeffrey Perez,43177,Prospecting,2025-04-27,2025-10-30,1048.0,Sheila Morgan,Demo,2025-07-30 06:12:14,2025-10-31 17:36:54,2243.411111111111,0.0,0.0
12,Robert,Hayes,epope@gmail.com,Park LLC,2024-04-11,Website,2024-04-11,3140,Jeffrey Perez,43177,Prospecting,2025-04-27,2025-10-30,3312.0,Jared Young,Call,2025-03-15 04:57:45,2025-10-31 17:40:33,5532.713333333333,0.0,0.0
12,Robert,Hayes,epope@gmail.com,Park LLC,2024-04-11,Website,2024-04-11,7059,Jeremiah Waters,13406,Prospecting,2025-10-18,2025-10-30,1048.0,Sheila Morgan,Demo,2025-07-30 06:12:14,2025-10-31 17:36:54,2243.411111111111,0.0,0.0
12,Robert,Hayes,epope@gmail.com,Park LLC,2024-04-11,Website,2024-04-11,7059,Jeremiah Waters,13406,Prospecting,2025-10-18,2025-10-30,3312.0,Jared Young,Call,2025-03-15 04:57:45,2025-10-31 17:40:33,5532.713333333333,0.0,0.0
